Name,City,State,Size_MW,Score_Default,Classification,Score_Best_Case,Score_Worst_Case,Score_Range,Missing_Inputs,PUE_Low_Score,PUE_High_Score,Growth_Low_Score,Growth_High_Score,OPEX_Low_Score,OPEX_High_Score,Data_Collection_Priority
SGIGSM01,Rio de Janeiro,Rio de Janeiro,7.8,67.49,Good,77.85,54.72,23.13,baseline_pue; load_growth_rate; energy_pct_opex,59.41,72.82,62.6,72.35,67.49,67.49,HIGH
NTT Tokyo 1,Tokyo,Tokyo,15.0,74.54,Good,85.09,62.0,23.09,baseline_pue; load_growth_rate; energy_pct_opex,66.62,79.99,69.64,79.42,74.54,74.54,HIGH
Colt Inzai 2,Inzai,Chiba,15.0,74.54,Good,85.09,62.0,23.09,baseline_pue; load_growth_rate; energy_pct_opex,66.62,79.99,69.64,79.42,74.54,74.54,HIGH
Sin12,Singapore,N/A,50.0,84.56,Excellent,93.81,70.75,23.06,baseline_pue; load_growth_rate; energy_pct_opex,75.51,90.45,79.41,89.7,84.56,84.56,HIGH
Equinix FR11x,Frankfurt,Hesse,30.0,77.61,Excellent,88.23,65.2,23.03,baseline_pue; load_growth_rate; energy_pct_opex,69.77,83.11,72.71,82.5,77.61,77.61,HIGH
Digital Realty FRA32,Frankfurt,Hesse,30.0,77.61,Excellent,88.23,65.2,23.03,baseline_pue; load_growth_rate; energy_pct_opex,69.77,83.11,72.71,82.5,77.61,77.61,HIGH
NTT Frankfurt 4,Frankfurt,Hesse,30.0,77.61,Excellent,88.23,65.2,23.03,baseline_pue; load_growth_rate; energy_pct_opex,69.77,83.11,72.71,82.5,77.61,77.61,HIGH
DC Tuas,Singapore,N/A,58.0,84.65,Excellent,93.89,70.88,23.01,baseline_pue; load_growth_rate; energy_pct_opex,75.63,90.53,79.51,89.8,84.65,84.65,HIGH
CA1,Santa Clara,CA,77.0,84.8,Excellent,94.01,71.08,22.93,baseline_pue; load_growth_rate; energy_pct_opex,75.82,90.66,79.66,89.94,84.8,84.8,HIGH
MN01,Minneapolis,MN,5.4,54.72,Good,64.61,41.71,22.9,baseline_pue; load_growth_rate; energy_pct_opex,46.52,59.73,49.87,59.52,54.72,54.72,HIGH
